nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork
jpalala/laravel-api-boilerplate-jwt,https://github.com/jpalala/laravel-api-boilerplate-jwt,2022-02-28T00:33:06+09,2022-02-28T01:15:04+09,1
khairulcs/laravel-api-boilerplate-jwt,https://github.com/khairulcs/laravel-api-boilerplate-jwt,2020-01-04T18:01:42+09,2020-01-04T22:41:46+09,2
juniarta/laravel-api,https://github.com/juniarta/laravel-api,2017-03-20T01:42:40+09,2019-05-29T03:04:51+09,27
niradler/laravel-api-boilerplate-jwt,https://github.com/niradler/laravel-api-boilerplate-jwt,2016-12-29T08:01:34+09,2019-04-19T06:47:20+09,32
vanushwashere/laravel-api-boilerplate-jwt,https://github.com/vanushwashere/laravel-api-boilerplate-jwt,2017-06-03T22:04:35+09,2017-06-03T23:57:52+09,8
jonathanlaflamme/laravel-api-boilerplate-jwt,https://github.com/jonathanlaflamme/laravel-api-boilerplate-jwt,2017-05-27T01:59:22+09,2017-06-02T14:07:16+09,1
yuzrieSiddiq/laravel-api-boilerplate-jwt,https://github.com/yuzrieSiddiq/laravel-api-boilerplate-jwt,2017-03-13T18:52:27+09,2017-03-14T21:15:23+09,1
3kynox/back,https://github.com/3kynox/back,2017-02-05T06:29:03+09,2017-02-26T18:12:22+09,6
ken8203/laravel-api-boilerplate-jwt,https://github.com/ken8203/laravel-api-boilerplate-jwt,2016-12-15T16:14:33+09,2016-12-15T16:43:58+09,2
agusnurwanto/laravel-api-boilerplate-jwt,https://github.com/agusnurwanto/laravel-api-boilerplate-jwt,2016-11-05T19:34:22+09,2016-12-10T10:08:14+09,3
berkaybeyaz1/laravel-api-boilerplate-jwt,https://github.com/berkaybeyaz1/laravel-api-boilerplate-jwt,2016-06-26T22:34:48+09,2016-06-26T22:36:51+09,1
vikkio88/laravel-api-boilerplate-jwt,https://github.com/vikkio88/laravel-api-boilerplate-jwt,2015-09-17T22:38:56+09,2015-11-01T18:38:53+09,3
